model_id,strategy,family,n_samples,consensus_cer,consensus_field_accuracy,average_raw_confidence,total_evaluated_fields,total_sample_records,denominator_status,evidence_status,source_artifact,source_sha256,notes
models/gemini-2.0-flash,dont_warp_text_and_lines_d003_r30_s10_std2,grid_warp,4,0.070930197129886352,0.76990429647729586,0.95105776539264486,4911,19641,historical_warp_about_4920_noncanonical,reported_historical_aggregate,PA_DEATH/WARP/metrics_no_punc/experiment_level_consensus_summary_by_k.tsv,ff5a00eaa22390f0a0abf4b0ee23479aae21dfa35d06b2896cf1fb894104c565,weighted_CER and field_accuracy copied from the aggregate by-k source; canonical 3684 filter is unresolved.
models/gemini-2.0-flash,dont_warp_text_and_lines_d003_r30_s10_std2,grid_warp,5,0.066227387816112995,0.77891087089537014,0.95051760561201071,4903,24512,historical_warp_about_4920_noncanonical,reported_historical_aggregate,PA_DEATH/WARP/metrics_no_punc/experiment_level_consensus_summary_by_k.tsv,ff5a00eaa22390f0a0abf4b0ee23479aae21dfa35d06b2896cf1fb894104c565,weighted_CER and field_accuracy copied from the aggregate by-k source; canonical 3684 filter is unresolved.
models/gemini-2.0-flash,dont_warp_text_and_lines_d003_r30_s10_std3,grid_warp,1,0.097740697886852204,0.72218832621517182,1,4917,4917,historical_warp_about_4920_noncanonical,reported_historical_aggregate,PA_DEATH/WARP/metrics_no_punc/experiment_level_consensus_summary_by_k.tsv,ff5a00eaa22390f0a0abf4b0ee23479aae21dfa35d06b2896cf1fb894104c565,weighted_CER and field_accuracy copied from the aggregate by-k source; canonical 3684 filter is unresolved.
models/gemini-2.0-flash,dont_warp_text_and_lines_d003_r30_s10_std3,grid_warp,2,0.099698620962586373,0.70902806018706788,0.94719762715676037,4918,9835,historical_warp_about_4920_noncanonical,reported_historical_aggregate,PA_DEATH/WARP/metrics_no_punc/experiment_level_consensus_summary_by_k.tsv,ff5a00eaa22390f0a0abf4b0ee23479aae21dfa35d06b2896cf1fb894104c565,weighted_CER and field_accuracy copied from the aggregate by-k source; canonical 3684 filter is unresolved.
models/gemini-2.0-flash,dont_warp_text_and_lines_d003_r30_s10_std3,grid_warp,3,0.077384212768547261,0.761130311038829,0.94419953088812247,4919,14753,historical_warp_about_4920_noncanonical,reported_historical_aggregate,PA_DEATH/WARP/metrics_no_punc/experiment_level_consensus_summary_by_k.tsv,ff5a00eaa22390f0a0abf4b0ee23479aae21dfa35d06b2896cf1fb894104c565,weighted_CER and field_accuracy copied from the aggregate by-k source; canonical 3684 filter is unresolved.
models/gemini-2.0-flash,dont_warp_text_and_lines_d003_r30_s10_std3,grid_warp,4,0.075497535146978267,0.76356983126651756,0.93898298227506305,4919,19672,historical_warp_about_4920_noncanonical,reported_historical_aggregate,PA_DEATH/WARP/metrics_no_punc/experiment_level_consensus_summary_by_k.tsv,ff5a00eaa22390f0a0abf4b0ee23479aae21dfa35d06b2896cf1fb894104c565,weighted_CER and field_accuracy copied from the aggregate by-k source; canonical 3684 filter is unresolved.
models/gemini-2.0-flash,dont_warp_text_and_lines_d003_r30_s10_std3,grid_warp,5,0.07010912637932086,0.77580940745265725,0.93971122201999158,4911,24550,historical_warp_about_4920_noncanonical,reported_historical_aggregate,PA_DEATH/WARP/metrics_no_punc/experiment_level_consensus_summary_by_k.tsv,ff5a00eaa22390f0a0abf4b0ee23479aae21dfa35d06b2896cf1fb894104c565,weighted_CER and field_accuracy copied from the aggregate by-k source; canonical 3684 filter is unresolved.
models/gemini-2.0-flash,shift_only,pad,1,0.076791912794592285,0.75838926174496646,1,4917,4917,historical_warp_about_4920_noncanonical,reported_historical_aggregate,PA_DEATH/WARP/metrics_no_punc/experiment_level_consensus_summary_by_k.tsv,ff5a00eaa22390f0a0abf4b0ee23479aae21dfa35d06b2896cf1fb894104c565,weighted_CER and field_accuracy copied from the aggregate by-k source; canonical 3684 filter is unresolved.
models/gemini-2.0-flash,shift_only,pad,2,0.077749376179173518,0.75116893677576746,0.96566211778739175,4919,9836,historical_warp_about_4920_noncanonical,reported_historical_aggregate,PA_DEATH/WARP/metrics_no_punc/experiment_level_consensus_summary_by_k.tsv,ff5a00eaa22390f0a0abf4b0ee23479aae21dfa35d06b2896cf1fb894104c565,weighted_CER and field_accuracy copied from the aggregate by-k source; canonical 3684 filter is unresolved.
models/gemini-2.0-flash,shift_only,pad,3,0.068133406366015462,0.77292132547265702,0.96413997510785476,4919,14753,historical_warp_about_4920_noncanonical,reported_historical_aggregate,PA_DEATH/WARP/metrics_no_punc/experiment_level_consensus_summary_by_k.tsv,ff5a00eaa22390f0a0abf4b0ee23479aae21dfa35d06b2896cf1fb894104c565,weighted_CER and field_accuracy copied from the aggregate by-k source; canonical 3684 filter is unresolved.
models/gemini-2.0-flash,shift_only,pad,4,0.068468139492422864,0.77231144541573493,0.96060472251641571,4919,19672,historical_warp_about_4920_noncanonical,reported_historical_aggregate,PA_DEATH/WARP/metrics_no_punc/experiment_level_consensus_summary_by_k.tsv,ff5a00eaa22390f0a0abf4b0ee23479aae21dfa35d06b2896cf1fb894104c565,weighted_CER and field_accuracy copied from the aggregate by-k source; canonical 3684 filter is unresolved.
models/gemini-2.0-flash,shift_only,pad,5,0.065260462706129785,0.78069639584605988,0.96036990857074123,4911,24550,historical_warp_about_4920_noncanonical,reported_historical_aggregate,PA_DEATH/WARP/metrics_no_punc/experiment_level_consensus_summary_by_k.tsv,ff5a00eaa22390f0a0abf4b0ee23479aae21dfa35d06b2896cf1fb894104c565,weighted_CER and field_accuracy copied from the aggregate by-k source; canonical 3684 filter is unresolved.
models/gemini-2.0-flash,warp_all_d003_r30_s10_std15,grid_warp,1,0.085052644391698615,0.74628989632039033,1,4919,4919,historical_warp_about_4920_noncanonical,reported_historical_aggregate,PA_DEATH/WARP/metrics_no_punc/experiment_level_consensus_summary_by_k.tsv,ff5a00eaa22390f0a0abf4b0ee23479aae21dfa35d06b2896cf1fb894104c565,weighted_CER and field_accuracy copied from the aggregate by-k source; canonical 3684 filter is unresolved.
