doc_id,model_id,view_id,transform_id,status,attempt_count,retry_count,latency_seconds,prompt_sha256,source_image_sha256,rendered_image_sha256,payload_sha256,returned_model_id,prompt_tokens,candidate_tokens,total_tokens,raw_response_id,raw_response_sha256,route_transport_version,response_timestamp_utc
41381_1220705043_0549-01468,gemini-3.5-flash,U0,unchanged_repeat.0,ok,1,0,5.842890,fd119108d3ef4dbf2f88984511d9f903b7d4c98b032a95c327a21f713335e48e,eaffa6b41b945fa75d454f98d1ea94ccfeb2165dd8bb9c325bb1447f8bae844c,265eff22fa8541127dc6e4d864be21bb24d75026ed722dc4d7318ac921ba66e5,265eff22fa8541127dc6e4d864be21bb24d75026ed722dc4d7318ac921ba66e5,gemini-3.5-flash,2149,1261,3410,gemini-3.5-flash/41381_1220705043_0549-01468__U0__attempt_1.json,8e15bca12d50a59fe7d0fba58804a63949be1ee650f96bfcc13cee3d51b8e4b3,gemini_l1_native_inline_jpeg95_minimal4096_v2,2026-08-30T04:48:17.755714Z
41381_1220705043_0549-04785,gemini-3.5-flash,U0,unchanged_repeat.0,ok,1,0,5.170685,fd119108d3ef4dbf2f88984511d9f903b7d4c98b032a95c327a21f713335e48e,230591b8af0bff19dbcb2bf8da3f9e49d7e9e0f314ebe2821128fdb8e22af1a2,3186a0ef2c15c7fe4dd794c670b7f63ee21dfa83d5897e7ddd463e83995514c0,3186a0ef2c15c7fe4dd794c670b7f63ee21dfa83d5897e7ddd463e83995514c0,gemini-3.5-flash,2149,1271,3420,gemini-3.5-flash/41381_1220705043_0549-04785__U0__attempt_1.json,366e473658d4928f05e4c12737495de6d3dcf06c37899aea4ccc3a5b04409c1f,gemini_l1_native_inline_jpeg95_minimal4096_v2,2026-08-30T04:48:20.612441Z
41381_1220705043_0567-00432,gemini-3.5-flash,U0,unchanged_repeat.0,ok,1,0,5.441890,fd119108d3ef4dbf2f88984511d9f903b7d4c98b032a95c327a21f713335e48e,8a35c01d207cfa665c21f63e813bb679f9c6a3c5eb19ffb381e7ba9908fbe178,0964c6b977c8e5d9edf2ca300e730d5a171d2e5d7d52fd1ec4c74f83766a07f1,0964c6b977c8e5d9edf2ca300e730d5a171d2e5d7d52fd1ec4c74f83766a07f1,gemini-3.5-flash,2157,1276,3433,gemini-3.5-flash/41381_1220705043_0567-00432__U0__attempt_1.json,62a34af78ef970659d783ae96b04765d969282f174f27c522847340ac935e6b7,gemini_l1_native_inline_jpeg95_minimal4096_v2,2026-08-30T04:48:26.093449Z
41381_1220705043_0549-01468,gemini-3.5-flash-lite,U0,unchanged_repeat.0,ok,1,0,3.477767,fd119108d3ef4dbf2f88984511d9f903b7d4c98b032a95c327a21f713335e48e,eaffa6b41b945fa75d454f98d1ea94ccfeb2165dd8bb9c325bb1447f8bae844c,265eff22fa8541127dc6e4d864be21bb24d75026ed722dc4d7318ac921ba66e5,265eff22fa8541127dc6e4d864be21bb24d75026ed722dc4d7318ac921ba66e5,gemini-3.5-flash-lite,2149,885,3034,gemini-3.5-flash-lite/41381_1220705043_0549-01468__U0__attempt_1.json,099dc781ab16a7e5cc75a2d641c15d3a779eb4a1002cafa08d621bfdca9b0dae,gemini_l1_native_inline_jpeg95_minimal4096_v2,2026-08-30T04:48:15.416170Z
41381_1220705043_0549-04785,gemini-3.5-flash-lite,U0,unchanged_repeat.0,ok,1,0,4.062816,fd119108d3ef4dbf2f88984511d9f903b7d4c98b032a95c327a21f713335e48e,230591b8af0bff19dbcb2bf8da3f9e49d7e9e0f314ebe2821128fdb8e22af1a2,3186a0ef2c15c7fe4dd794c670b7f63ee21dfa83d5897e7ddd463e83995514c0,3186a0ef2c15c7fe4dd794c670b7f63ee21dfa83d5897e7ddd463e83995514c0,gemini-3.5-flash-lite,2149,1260,3409,gemini-3.5-flash-lite/41381_1220705043_0549-04785__U0__attempt_1.json,1369bc00de50f0120ce534b96dd07cbe88e24f460c1cb75f0575a869f984e40d,gemini_l1_native_inline_jpeg95_minimal4096_v2,2026-08-30T04:48:21.862483Z
41381_1220705043_0567-00432,gemini-3.5-flash-lite,U0,unchanged_repeat.0,ok,1,0,3.925536,fd119108d3ef4dbf2f88984511d9f903b7d4c98b032a95c327a21f713335e48e,8a35c01d207cfa665c21f63e813bb679f9c6a3c5eb19ffb381e7ba9908fbe178,0964c6b977c8e5d9edf2ca300e730d5a171d2e5d7d52fd1ec4c74f83766a07f1,0964c6b977c8e5d9edf2ca300e730d5a171d2e5d7d52fd1ec4c74f83766a07f1,gemini-3.5-flash-lite,2157,1267,3424,gemini-3.5-flash-lite/41381_1220705043_0567-00432__U0__attempt_1.json,36b9d4a33b8a0e9b17c255df1d09d25b72cc0c522be5fcf9d2a6e54e12af4ad9,gemini_l1_native_inline_jpeg95_minimal4096_v2,2026-08-30T04:48:25.822771Z
