doc_id,relative_filename,byte_size,sha256,source_role
41381_1521003238_0739-02879,41381_1521003238_0739-02879.jpg,1265806,4523e0ab1c14053e17afa228508d1d7a397f22bc129951b6ac1937c86c992786,source_document_jpeg
41381_1521003238_0741-01672,41381_1521003238_0741-01672.jpg,1441986,fe8febd488929b79ed3e87f45218e0d354a04d664ebf63b94c4a3a20dd176623,source_document_jpeg
41381_1521003239_0698-00988,41381_1521003239_0698-00988.jpg,944226,8154722f48525c70802c954235f4816b11ec5f31f8b2c3bc9bdbb968ce68db18,source_document_jpeg
41381_1521003239_0703-02868,41381_1521003239_0703-02868.jpg,972171,94af7bf8ffb5d5cb943cd9f04da3566d58c35d7a07b5ee53132cfeadac6d974c,source_document_jpeg
41381_1521003239_0714-03139,41381_1521003239_0714-03139.jpg,1063931,584e4e47142deab2d1945c127c4e03fdc91c65750f0bb90e6cd891d62cd11643,source_document_jpeg
41381_2321306652_0582-02391,41381_2321306652_0582-02391.jpg,1013086,c742864ae3966157842a166bcfcef7fa8d79ed9510e6af0e834668418f8d1a7a,source_document_jpeg
41381_2321306652_0585-02357,41381_2321306652_0585-02357.jpg,989765,d2ce09417becf142bcdc984a7924ddc89ebb338716148bc57adfc6e792b3aba3,source_document_jpeg
41381_2321306652_0585-03551,41381_2321306652_0585-03551.jpg,853525,0df8d8c99e93679a9615383d0411cd3713475e9e4e1c748aa71bcc1398a22a13,source_document_jpeg
41381_2321306652_0586-01353,41381_2321306652_0586-01353.jpg,1045170,9b3c3bc6e68306a71f10ab4e424d9ee2c28d47a01069bf352188c63e63a9786b,source_document_jpeg
41381_2321306652_0586-01500,41381_2321306652_0586-01500.jpg,942824,dd927278f93c0106b628dc31fbfd9e7989a4b2acfbf1124b3c7001e3cbd2f770,source_document_jpeg
41381_2321306652_0587-02116,41381_2321306652_0587-02116.jpg,909561,9e3b2ca1c1df11bb7ddfd479ecfc6cf3e96d70f03b0454bc253154461dafe101,source_document_jpeg
41381_2321306652_0591-00186,41381_2321306652_0591-00186.jpg,875631,72bd1fdb53959957b01bdc5133bad54465bfc4f7c8df53fbd025076f21f1ffd5,source_document_jpeg
41381_2321306652_0592-00067,41381_2321306652_0592-00067.jpg,895296,edc2b8dc0f8f1b782d9b4a22f2df873e93139ff0e5d7c65f3544d8ec29452d42,source_document_jpeg
41381_2321306652_0593-01729,41381_2321306652_0593-01729.jpg,924065,fd8ecf373f8fef5952d08c8d46e302549e8e55fc07899989416eea65a29a227e,source_document_jpeg
41381_2321306652_0594-03279,41381_2321306652_0594-03279.jpg,999596,07ecccca4b6cce85dab1e3d2ac9f6ccd9b32a8ae8d75c8e441d784985782c472,source_document_jpeg
41381_2321306652_0596-02148,41381_2321306652_0596-02148.jpg,836667,630e9e506f636ebca410ec94b1a63137ebc449430d2bc71813ef93e4f58516a6,source_document_jpeg
41381_2321306652_0598-00741,41381_2321306652_0598-00741.jpg,964633,42eefe2b36e0fa991ec92740bf0229db0a36d9958677dba65c83e7fbefaf5276,source_document_jpeg
41381_2321306652_0600-03604,41381_2321306652_0600-03604.jpg,1172552,7543ec093e3732d7e5094ee870752e7c522acda8121ab943f5ac51b707e3f72a,source_document_jpeg
41381_2321306652_0602-02699,41381_2321306652_0602-02699.jpg,901912,0856bec5c273c4e161a4b1d53d63692451c00957db006df0933304eee66f5e84,source_document_jpeg
41381_2321306652_0603-00218,41381_2321306652_0603-00218.jpg,838476,9899be0b8a24312310460e0b6c9c6cfcc18248d05d4e1eb92b8976bbefb54e20,source_document_jpeg
41381_2321306652_0603-01016,41381_2321306652_0603-01016.jpg,1036823,1d0556d7e75688c023f8c0e3a2dac224e2ddacc96d8d64283727528499a12dbe,source_document_jpeg
41381_2321306652_0604-01312,41381_2321306652_0604-01312.jpg,943206,76be07bd82827c059e74b870c5af2cb64bbb1a2eaca6613d278ade8930a3cc47,source_document_jpeg
41381_2321306652_0605-02578,41381_2321306652_0605-02578.jpg,889193,d810b7ab54b08754d1771d770269f6f2fef5a61a68e3bc33b4271f4b965eac03,source_document_jpeg
41381_2321306652_0607-00042,41381_2321306652_0607-00042.jpg,1068724,af3078ceaa13791e660dc37ae736b744a4bc46273c1a7355eea8fcb2c70ccb10,source_document_jpeg
41381_2321306652_0609-02932,41381_2321306652_0609-02932.jpg,974047,4db5f762084be1e07571ae2d78a1dc72b099db181f4df2c41b3d5affa984d765,source_document_jpeg
